q_A1,q_A2,q_A3,q_A4,q_A5,q_A6,q_A7,q_A8,q_A9,q_A10,q_B1,q_B2,q_B3,q_B4,q_B5,q_B6,q_B7,q_B8,q_B9,q_B10,q_B11,q_B12,q_B13,m_age,m_gender,m_accuracy,m_country,m_source
1,4,2,3,3,2,3,4,4,3,4,4,5,4,5,4,5,4,1,2,1,1,1,17,1,92,US,6
4,3,4,3,4,4,4,4,2,2,4,4,4,4,5,4,3,2,3,2,4,1,1,37,1,100,US,1
3,4,4,4,4,4,4,3,2,2,4,4,5,5,4,4,4,4,2,2,2,2,2,31,1,80,US,6
4,5,4,4,4,3,3,2,2,2,4,2,4,5,4,5,4,4,3,3,3,2,4,32,1,93,US,1
3,5,4,4,4,5,5,1,1,4,4,1,4,5,3,4,3,3,2,2,1,2,2,36,2,80,IT,3
4,2,5,4,2,4,4,2,1,3,5,3,5,5,5,3,5,5,2,2,1,1,1,35,1,80,US,1
4,5,4,4,4,4,5,2,2,2,3,3,4,5,4,4,4,5,4,2,3,1,1,61,2,100,US,1
2,4,2,5,5,4,5,4,2,2,5,3,5,5,4,4,5,4,3,4,1,2,2,17,2,78,US,6
5,5,3,3,5,4,4,3,1,3,4,4,5,5,5,3,4,5,2,1,2,1,2,19,1,95,US,6
5,5,4,5,5,5,4,5,2,3,4,3,5,5,4,4,5,4,5,2,2,4,2,21,1,95,US,6
5,4,4,4,5,5,5,3,2,1,4,3,5,5,4,3,4,4,5,2,3,3,4,23,2,82,US,6
5,4,5,4,4,4,3,3,2,4,3,3,4,3,4,4,2,4,1,2,1,1,1,17,2,90,US,1
5,4,5,4,4,4,3,1,2,4,4,5,5,5,5,4,5,4,3,5,2,3,2,24,2,90,TR,1
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,21,2,54,PH,6
4,4,4,4,4,4,4,2,3,2,3,4,4,5,4,4,3,4,4,2,4,2,1,37,2,90,US,1
5,5,5,5,5,5,5,4,1,2,3,3,5,5,3,4,5,5,2,3,3,4,4,32,2,70,NL,5
5,5,5,4,5,3,4,1,2,1,4,3,5,5,5,4,4,4,1,1,2,1,1,21,1,95,IN,1
4,4,4,3,5,4,5,4,1,2,4,2,4,5,4,4,4,4,4,2,1,2,3,25,1,97,US,6
4,4,4,4,4,4,5,2,2,3,3,3,4,4,4,4,4,4,4,4,3,2,4,22,2,85,US,6
5,4,4,4,4,4,4,4,2,2,3,1,4,4,2,4,2,4,5,3,2,2,2,19,1,75,US,6
4,4,4,4,4,4,3,2,2,2,3,3,4,4,3,4,4,4,3,2,4,2,2,44,1,95,US,6
2,3,4,3,4,4,4,4,2,2,4,4,4,4,4,4,4,4,3,2,3,2,2,26,2,90,US,1
4,5,5,3,4,4,3,4,1,3,4,4,4,4,2,4,4,4,2,4,1,3,2,18,2,70,FI,1
4,5,4,5,4,4,5,3,1,2,3,3,5,5,5,2,5,2,5,2,3,1,2,21,2,100,US,6
3,4,2,3,4,3,3,4,1,2,3,4,2,5,5,2,3,3,1,3,2,1,1,22,1,75,US,6
4,5,4,4,5,3,5,2,2,1,3,2,4,4,5,1,5,5,5,2,2,3,4,20,2,94,US,6
4,4,4,5,4,3,4,2,1,2,4,4,4,4,4,4,4,4,4,4,2,2,4,21,2,91,US,1
5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,1,1,1,5,21,2,75,US,6
4,4,3,3,4,4,4,4,3,1,2,2,4,5,3,3,4,4,4,1,3,1,4,19,1,90,US,6
1,3,1,1,1,4,5,3,2,3,1,3,4,4,4,2,3,4,3,1,5,3,1,19,1,75,US,6
4,4,5,4,5,5,5,2,3,2,3,3,4,4,4,3,4,4,2,2,3,1,2,19,1,98,US,6
3,3,3,3,3,4,4,4,3,2,4,2,4,4,4,4,2,4,4,3,2,2,3,21,1,85,US,6
5,4,4,4,5,3,5,3,2,3,3,2,3,4,3,2,1,5,4,2,4,2,3,22,1,97,US,6
1,3,1,3,4,4,1,3,3,3,3,5,3,4,5,5,2,4,1,2,2,2,2,15,2,95,US,1
4,4,4,4,5,4,4,3,2,2,3,2,4,4,4,4,4,3,4,2,2,2,2,21,1,85,US,6
2,3,2,4,2,2,4,4,4,1,5,5,4,5,4,4,4,4,1,4,2,1,1,33,1,80,CA,1
5,4,1,4,5,5,5,1,2,1,5,5,5,5,5,5,4,5,1,1,1,1,1,24,2,99,US,1
5,3,2,4,4,2,3,4,4,3,4,4,3,3,1,2,3,5,3,5,3,3,2,23,1,80,PH,1
4,4,1,3,4,3,4,2,2,2,4,3,4,5,4,3,4,3,4,3,4,3,2,37,1,85,IN,1
4,4,5,4,3,5,3,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,27,2,100,PH,6
3,4,4,4,3,3,4,2,2,2,4,4,5,5,3,5,3,4,1,4,1,2,4,33,1,80,US,1
5,5,5,4,5,5,3,2,1,2,4,2,4,5,5,4,4,5,2,2,2,1,2,19,2,80,AU,2
4,4,5,5,4,3,5,2,2,5,4,5,4,5,4,4,4,4,5,3,1,1,4,23,2,98,US,1
4,3,4,3,2,4,3,5,4,3,4,4,5,5,4,4,5,4,5,4,5,3,3,24,2,99,IN,1
4,4,4,4,5,4,4,5,2,1,3,3,5,5,5,4,5,5,2,1,3,1,1,45,2,90,PT,1
5,4,1,5,1,5,4,5,2,1,1,5,5,5,5,1,5,5,5,1,5,1,1,24,1,100,CA,1
4,4,2,4,4,4,4,2,3,2,3,3,2,4,3,2,2,4,2,2,4,1,2,18,1,98,US,6
4,4,3,4,4,4,4,3,2,3,3,3,4,4,5,4,3,4,3,1,2,2,1,44,2,90,ZA,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,2,75,PK,1
5,4,3,3,5,4,4,4,2,3,4,3,4,4,4,5,2,3,4,3,4,1,4,28,1,90,US,6
4,3,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,3,2,2,2,1,1,26,1,100,HR,1
4,4,4,3,4,4,4,4,3,3,4,2,4,4,4,4,4,5,2,4,4,4,2,25,2,50,IN,1
1,1,1,3,1,1,4,5,5,3,3,5,5,5,5,5,5,5,5,1,5,1,1,25,2,100,US,1
4,4,3,4,4,4,4,3,2,3,4,3,4,4,5,4,3,4,3,2,3,2,2,44,2,90,ZA,6
1,4,1,4,3,2,4,2,3,1,5,5,5,5,5,4,2,5,1,3,1,1,1,14,2,75,AU,1
2,2,4,4,2,2,2,4,2,3,1,1,5,4,3,1,4,2,2,5,5,3,2,27,1,95,US,5
1,2,2,2,2,2,2,4,4,4,2,4,4,4,4,2,4,4,2,3,4,2,2,48,1,85,GB,2
4,4,4,2,4,5,4,2,4,4,5,5,5,5,5,5,5,5,2,2,2,1,1,26,1,95,US,1
2,3,4,4,5,5,4,4,2,3,3,1,4,4,3,3,4,4,4,3,3,2,2,49,1,99,CN,1
4,4,5,4,5,4,4,4,2,4,4,5,5,4,5,4,2,4,4,2,4,1,2,22,2,100,CA,6
4,4,2,2,4,4,4,2,2,2,2,2,4,4,4,2,4,4,4,2,2,2,2,26,1,100,PK,6
5,5,3,5,5,5,5,3,1,3,5,3,5,5,5,5,3,5,3,1,3,1,1,45,2,88,ZA,1
4,4,3,4,4,3,4,2,2,3,4,5,5,5,4,3,4,4,3,4,3,1,1,22,1,65,FI,1
5,5,5,5,5,5,4,1,1,1,5,4,5,5,5,4,5,1,1,2,2,1,2,19,1,98,GB,1
5,4,2,4,4,3,4,4,2,2,3,3,3,4,4,4,3,3,4,4,3,3,4,19,2,87,US,2
2,3,4,3,3,3,5,3,2,1,4,3,5,5,4,5,4,4,2,2,2,1,1,24,1,70,US,1
3,2,2,2,2,3,2,4,4,3,2,4,4,5,4,3,3,4,2,2,4,2,2,18,1,57,US,1
5,4,5,5,5,5,5,3,1,1,5,3,5,5,4,4,4,5,2,2,2,3,4,29,2,100,US,2
2,3,3,4,2,2,3,4,1,2,3,3,5,5,5,4,5,4,1,2,2,1,1,32,2,72,US,6
4,4,3,4,4,4,4,3,2,3,4,3,4,5,4,4,3,5,2,2,2,2,2,45,2,88,ZA,6
1,2,1,1,1,4,2,5,4,1,2,4,5,5,3,2,4,4,2,4,4,1,2,17,2,95,PH,1
5,2,5,5,4,4,5,1,1,1,4,4,5,4,4,3,4,3,1,4,1,1,1,26,2,70,GR,1
2,3,3,3,3,3,4,2,2,2,3,2,4,4,4,3,5,5,5,4,4,1,2,21,2,80,GB,1
4,4,4,4,4,4,2,4,3,4,4,2,2,4,4,5,4,3,2,2,2,2,2,18,1,50,GR,1
1,2,2,4,2,2,3,4,3,3,3,3,4,5,3,4,4,4,5,2,4,2,2,18,2,80,PH,1
3,4,4,4,4,4,4,2,2,3,2,3,2,2,4,2,2,4,4,4,2,2,5,41,2,99,US,6
4,5,5,2,4,3,3,2,2,4,5,5,5,5,5,4,5,4,2,5,2,3,2,26,1,75,PL,1
3,1,3,5,1,3,1,3,4,3,3,4,5,5,5,2,1,5,1,4,1,2,1,19,2,100,CN,1
4,4,4,4,4,4,4,4,3,2,3,4,4,5,3,2,4,3,4,4,4,3,2,17,2,97,US,6
4,4,2,3,4,4,3,3,3,2,4,4,4,4,4,4,2,3,2,2,2,2,2,36,2,90,US,1
4,4,4,4,4,4,4,3,2,1,4,4,5,5,5,4,5,5,2,2,2,1,1,42,2,95,ZA,1
5,5,5,4,3,5,5,2,1,1,3,3,2,4,2,4,3,5,4,3,2,2,1,20,2,60,MY,1
4,4,4,5,5,4,5,2,2,2,4,4,5,5,5,4,5,4,2,2,1,1,1,22,2,100,US,1
4,4,4,4,2,3,4,2,2,3,4,3,4,3,4,4,4,3,4,4,2,3,2,21,1,84,DK,1
4,5,4,2,4,4,4,2,2,4,4,4,5,5,4,4,4,4,2,2,2,2,2,26,2,95,IN,1
5,5,4,4,4,3,4,2,2,5,4,5,5,4,4,4,4,4,4,5,4,3,2,19,2,87,US,6
4,4,4,4,2,4,3,2,2,2,4,4,4,4,1,3,2,5,3,1,2,4,2,33,1,90,IN,1
4,5,5,4,5,4,4,2,1,1,2,3,4,4,4,2,4,4,2,2,3,1,2,21,2,97,IN,1
5,5,5,4,4,5,4,2,1,3,5,5,4,5,5,5,4,4,2,3,1,1,1,34,2,75,GB,1
5,5,5,5,4,4,5,3,1,1,1,1,5,3,5,3,1,3,3,4,5,1,5,20,2,80,GB,2
5,4,5,4,5,4,4,3,1,2,3,5,5,4,5,4,3,4,1,2,1,1,1,24,1,95,CH,1
3,2,4,5,2,4,4,2,2,2,4,4,4,5,4,4,2,4,2,4,2,5,1,30,2,75,AE,1
4,3,5,5,3,5,4,1,1,3,5,5,5,5,5,5,5,5,5,1,5,1,1,21,2,90,US,1
4,4,5,4,4,4,4,4,3,1,5,5,5,5,5,4,5,5,1,1,1,1,1,18,2,100,US,1
